# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    5.77577578    0.05328866
    5.81581582    0.05552051
    5.85585586    0.05789794
    5.89589590    0.06041217
    5.93593594    0.06305149
    5.97597598    0.06580130
    6.01601602    0.06864443
    6.05605606    0.07156158
    6.09609610    0.07453189
    6.13613614    0.07753352
    6.17617618    0.08054397
    6.21621622    0.08354028
    6.25625626    0.08649892
    6.29629630    0.08939587
    6.33633634    0.09220674
    6.37637638    0.09490749
    6.41641642    0.09747545
    6.45645646    0.09989057
    6.49649650    0.10213648
    6.53653654    0.10420116
    6.57657658    0.10607693
    6.61661662    0.10775994
    6.65665666    0.10924931
    6.69669670    0.11054617
    6.73673674    0.11165263
    6.77677678    0.11257089
    6.81681682    0.11330247
    6.85685686    0.11384774
    6.89689690    0.11420577
    6.93693694    0.11437482
    6.97697698    0.11435322
    7.01701702    0.11414085
    7.05705706    0.11374072
    7.09709710    0.11316054
    7.13713714    0.11241381
    7.17717718    0.11152020
    7.21721722    0.11050509
    7.25725726    0.10939812
    7.29729730    0.10823114
    7.33733734    0.10703574
    7.37737738    0.10584090
    7.41741742    0.10467091
    7.45745746    0.10354399
    7.49749750    0.10247158
    7.53753754    0.10145822
    7.57757758    0.10050197
    7.61761762    0.09959513
    7.65765766    0.09872528
    7.69769770    0.09787634
    7.73773774    0.09702979
    7.77777778    0.09616593
    7.81781782    0.09526510
    7.85785786    0.09430882
    7.89789790    0.09328082
    7.93793794    0.09216803
    7.97797798    0.09096155
    8.01801802    0.08965761
    8.05805806    0.08825850
    8.09809810    0.08677311
    8.13813814    0.08521705
    8.17817818    0.08361197
    8.21821822    0.08198425
    8.25825826    0.08036300
    8.29829830    0.07877791
    8.33833834    0.07725703
    8.37837838    0.07582496
    8.41841842    0.07450144
    8.45845846    0.07330047
    8.49849850    0.07222994
    8.53853854    0.07129152
    8.57857858    0.07048094
    8.61861862    0.06978839
    8.65865866    0.06919917
    8.69869870    0.06869465
    8.73873874    0.06825338
    8.77877878    0.06785255
    8.81881882    0.06746981
    8.85885886    0.06708504
    8.89889890    0.06668227
    8.93893894    0.06625112
    8.97897898    0.06578777
    9.01901902    0.06529504
    9.05905906    0.06478172
    9.09909910    0.06426116
    9.13913914    0.06374937
    9.17917918    0.06326304
    9.21921922    0.06281770
    9.25925926    0.06242612
    9.29929930    0.06209741
    9.33933934    0.06183640
    9.37937938    0.06164366
    9.41941942    0.06151585
    9.45945946    0.06144655
    9.49949950    0.06142718
    9.53953954    0.06144825
    9.57957958    0.06150047
    9.61961962    0.06157584
    9.65965966    0.06166834
    9.69969970    0.06177434
    9.73973974    0.06189251
    9.77977978    0.06202348
    9.81981982    0.06216919
    9.85985986    0.06233230
    9.89989990    0.06251554
    9.93993994    0.06272137
    9.97997998    0.06295169
   10.02002002    0.06320770
   10.06006006    0.06348992
   10.10010010    0.06379814
   10.14014014    0.06413139
   10.18018018    0.06448796
   10.22022022    0.06486543
   10.26026026    0.06526083
   10.30030030    0.06567085
   10.34034034    0.06609216
   10.38038038    0.06652178
   10.42042042    0.06695734
   10.46046046    0.06739730
   10.50050050    0.06784106
   10.54054054    0.06828887
   10.58058058    0.06874161
   10.62062062    0.06920052
