# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    3.93393393    0.00921057
    3.97397397    0.00944168
    4.01401401    0.00968280
    4.05405405    0.00993455
    4.09409409    0.01019759
    4.13413413    0.01047261
    4.17417417    0.01076037
    4.21421421    0.01106165
    4.25425425    0.01137730
    4.29429429    0.01170817
    4.33433433    0.01205520
    4.37437437    0.01241936
    4.41441441    0.01280168
    4.45445445    0.01320328
    4.49449449    0.01362534
    4.53453453    0.01406916
    4.57457457    0.01453614
    4.61461461    0.01502782
    4.65465465    0.01554588
    4.69469469    0.01609215
    4.73473473    0.01666864
    4.77477477    0.01727754
    4.81481481    0.01792121
    4.85485485    0.01860224
    4.89489489    0.01932343
    4.93493493    0.02008779
    4.97497497    0.02089863
    5.01501502    0.02175951
    5.05505506    0.02267434
    5.09509510    0.02364738
    5.13513514    0.02468331
    5.17517518    0.02578732
    5.21521522    0.02696512
    5.25525526    0.02822306
    5.29529530    0.02956814
    5.33533534    0.03100807
    5.37537538    0.03255134
    5.41541542    0.03420718
    5.45545546    0.03598561
    5.49549550    0.03789736
    5.53553554    0.03995382
    5.57557558    0.04216686
    5.61561562    0.04454864
    5.65565566    0.04711121
    5.69569570    0.04986609
    5.73573574    0.05282365
    5.77577578    0.05599236
    5.81581582    0.05937787
    5.85585586    0.06298202
    5.89589590    0.06680178
    5.93593594    0.07082824
    5.97597598    0.07504582
    6.01601602    0.07943187
    6.05605606    0.08395673
    6.09609610    0.08858448
    6.13613614    0.09327415
    6.17617618    0.09798138
    6.21621622    0.10266023
    6.25625626    0.10726502
    6.29629630    0.11175194
    6.33633634    0.11608055
    6.37637638    0.12021528
    6.41641642    0.12412676
    6.45645646    0.12779313
    6.49649650    0.13120075
    6.53653654    0.13434414
    6.57657658    0.13722493
    6.61661662    0.13984986
    6.65665666    0.14222817
    6.69669670    0.14436893
    6.73673674    0.14627861
    6.77677678    0.14795937
    6.81681682    0.14940799
    6.85685686    0.15061579
    6.89689690    0.15156932
    6.93693694    0.15225208
    6.97697698    0.15264692
    7.01701702    0.15273938
    7.05705706    0.15252129
    7.09709710    0.15199436
    7.13713714    0.15117288
    7.17717718    0.15008489
    7.21721722    0.14877138
    7.25725726    0.14728353
    7.29729730    0.14567831
    7.33733734    0.14401338
    7.37737738    0.14234201
    7.41741742    0.14070890
    7.45745746    0.13914723
    7.49749750    0.13767717
    7.53753754    0.13630580
    7.57757758    0.13502794
    7.61761762    0.13382782
    7.65765766    0.13268101
    7.69769770    0.13155670
    7.73773774    0.13042016
    7.77777778    0.12923528
    7.81781782    0.12796721
    7.85785786    0.12658489
    7.89789790    0.12506324
    7.93793794    0.12338488
    7.97797798    0.12154131
    8.01801802    0.11953367
    8.05805806    0.11737303
    8.09809810    0.11508012
    8.13813814    0.11268444
    8.17817818    0.11022259
    8.21821822    0.10773584
    8.25825826    0.10526723
    8.29829830    0.10285847
    8.33833834    0.10054708
    8.37837838    0.09836413
    8.41841842    0.09633263
    8.45845846    0.09446672
    8.49849850    0.09277141
    8.53853854    0.09124281
    8.57857858    0.08986881
    8.61861862    0.08863000
    8.65865866    0.08750100
    8.69869870    0.08645207
    8.73873874    0.08545115
    8.77877878    0.08446621
    8.81881882    0.08346779
    8.85885886    0.08243163
    8.89889890    0.08134092
    8.93893894    0.08018802
    8.97897898    0.07897516
    9.01901902    0.07771407
    9.05905906    0.07642449
    9.09909910    0.07513186
    9.13913914    0.07386460
    9.17917918    0.07265136
    9.21921922    0.07151871
    9.25925926    0.07048925
    9.29929930    0.06958038
    9.33933934    0.06880363
    9.37937938    0.06816437
    9.41941942    0.06766190
    9.45945946    0.06728993
    9.49949950    0.06703739
    9.53953954    0.06688971
    9.57957958    0.06683040
    9.61961962    0.06684306
    9.65965966    0.06691335
    9.69969970    0.06703074
    9.73973974    0.06718974
    9.77977978    0.06739026
    9.81981982    0.06763714
    9.85985986    0.06793903
    9.89989990    0.06830679
    9.93993994    0.06875184
    9.97997998    0.06928457
   10.02002002    0.06991306
   10.06006006    0.07064201
   10.10010010    0.07147207
   10.14014014    0.07239942
   10.18018018    0.07341576
   10.22022022    0.07450875
   10.26026026    0.07566280
   10.30030030    0.07686034
   10.34034034    0.07808334
   10.38038038    0.07931494
   10.42042042    0.08054093
   10.46046046    0.08175083
   10.50050050    0.08293844
   10.54054054    0.08410174
   10.58058058    0.08524224
   10.62062062    0.08636380
   10.66066066    0.08747132
   10.70070070    0.08856930
   10.74074074    0.08966067
   10.78078078    0.09074583
   10.82082082    0.09182215
   10.86086086    0.09288387
   10.90090090    0.09392246
   10.94094094    0.09492738
   10.98098098    0.09588711
   11.02102102    0.09679027
   11.06106106    0.09762681
   11.10110110    0.09838888
   11.14114114    0.09907130
   11.18118118    0.09967156
   11.22122122    0.10018935
   11.26126126    0.10062569
   11.30130130    0.10098186
   11.34134134    0.10125824
   11.38138138    0.10145317
   11.42142142    0.10156208
   11.46146146    0.10157690
   11.50150150    0.10148609
   11.54154154    0.10127544
   11.58158158    0.10092951
   11.62162162    0.10043384
   11.66166166    0.09977747
   11.70170170    0.09895540
   11.74174174    0.09797050
   11.78178178    0.09683448
   11.82182182    0.09556774
   11.86186186    0.09419793
   11.90190190    0.09275775
   11.94194194    0.09128210
   11.98198198    0.08980525
   12.02202202    0.08835836
   12.06206206    0.08696757
   12.10210210    0.08565281
   12.14214214    0.08442734
   12.18218218    0.08329783
   12.22222222    0.08226491
   12.26226226    0.08132401
   12.30230230    0.08046648
   12.34234234    0.07968075
   12.38238238    0.07895362
   12.42242242    0.07827147
   12.46246246    0.07762136
   12.50250250    0.07699186
   12.54254254    0.07637364
   12.58258258    0.07575963
   12.62262262    0.07514498
   12.66266266    0.07452674
   12.70270270    0.07390351
   12.74274274    0.07327494
   12.78278278    0.07264136
   12.82282282    0.07200343
   12.86286286    0.07136180
   12.90290290    0.07071692
   12.94294294    0.07006886
   12.98298298    0.06941732
   13.02302302    0.06876179
   13.06306306    0.06810184
   13.10310310    0.06743751
   13.14314314    0.06676966
   13.18318318    0.06610022
   13.22322322    0.06543224
   13.26326326    0.06476980
   13.30330330    0.06411769
   13.34334334    0.06348095
   13.38338338    0.06286440
   13.42342342    0.06227216
   13.46346346    0.06170729
   13.50350350    0.06117154
   13.54354354    0.06066534
   13.58358358    0.06018794
   13.62362362    0.05973777
   13.66366366    0.05931275
   13.70370370    0.05891079
   13.74374374    0.05853012
   13.78378378    0.05816961
   13.82382382    0.05782906
   13.86386386    0.05750932
   13.90390390    0.05721235
   13.94394394    0.05694121
   13.98398398    0.05669980
   14.02402402    0.05649263
   14.06406406    0.05632438
   14.10410410    0.05619947
   14.14414414    0.05612160
   14.18418418    0.05609342
   14.22422422    0.05611621
   14.26426426    0.05618973
   14.30430430    0.05631218
   14.34434434    0.05648016
   14.38438438    0.05668883
   14.42442442    0.05693198
   14.46446446    0.05720223
   14.50450450    0.05749130
   14.54454454    0.05779036
   14.58458458    0.05809050
   14.62462462    0.05838330
   14.66466466    0.05866142
   14.70470470    0.05891917
   14.74474474    0.05915290
   14.78478478    0.05936116
   14.82482482    0.05954468
   14.86486486    0.05970606
   14.90490490    0.05984937
   14.94494494    0.05997968
