# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
    4.49449449    0.05300296
    4.53453453    0.05337419
    4.57457457    0.05370763
    4.61461461    0.05398902
    4.65465465    0.05420773
    4.69469469    0.05435815
    4.73473473    0.05444030
    4.77477477    0.05445935
    4.81481481    0.05442400
    4.85485485    0.05434416
    4.89489489    0.05422828
    4.93493493    0.05408130
    4.97497497    0.05390351
    5.01501502    0.05369062
    5.05505506    0.05343496
    5.09509510    0.05312759
    5.13513514    0.05276086
    5.17517518    0.05233120
    5.21521522    0.05184140
    5.25525526    0.05130206
    5.29529530    0.05073143
    5.33533534    0.05015387
    5.37537538    0.04959697
    5.41541542    0.04908828
    5.45545546    0.04865221
    5.49549550    0.04830783
    5.53553554    0.04806774
    5.57557558    0.04793798
    5.61561562    0.04791870
    5.65565566    0.04800534
    5.69569570    0.04818984
    5.73573574    0.04846163
    5.77577578    0.04880831
    5.81581582    0.04921603
    5.85585586    0.04966964
    5.89589590    0.05015303
    5.93593594    0.05064971
    5.97597598    0.05114375
    6.01601602    0.05162102
    6.05605606    0.05207037
    6.09609610    0.05248455
    6.13613614    0.05286059
    6.17617618    0.05319969
    6.21621622    0.05350651
    6.25625626    0.05378821
    6.29629630    0.05405326
    6.33633634    0.05431016
    6.37637638    0.05456622
    6.41641642    0.05482631
    6.45645646    0.05509156
    6.49649650    0.05535819
    6.53653654    0.05561668
    6.57657658    0.05585177
    6.61661662    0.05604369
    6.65665666    0.05617066
    6.69669670    0.05621238
    6.73673674    0.05615370
    6.77677678    0.05598749
    6.81681682    0.05571581
    6.85685686    0.05534921
    6.89689690    0.05490397
    6.93693694    0.05439846
    6.97697698    0.05384933
    7.01701702    0.05326872
    7.05705706    0.05266317
    7.09709710    0.05203444
    7.13713714    0.05138175
    7.17717718    0.05070479
    7.21721722    0.05000647
    7.25725726    0.04929441
    7.29729730    0.04858101
    7.33733734    0.04788204
    7.37737738    0.04721436
    7.41741742    0.04659350
    7.45745746    0.04603166
    7.49749750    0.04553650
    7.53753754    0.04511079
    7.57757758    0.04475279
    7.61761762    0.04445710
    7.65765766    0.04421554
    7.69769770    0.04401805
    7.73773774    0.04385326
    7.77777778    0.04370891
    7.81781782    0.04357216
    7.85785786    0.04343008
    7.89789790    0.04327034
    7.93793794    0.04308216
    7.97797798    0.04285743
    8.01801802    0.04259166
    8.05805806    0.04228476
    8.09809810    0.04194123
    8.13813814    0.04156992
    8.17817818    0.04118322
    8.21821822    0.04079595
    8.25825826    0.04042407
    8.29829830    0.04008347
    8.33833834    0.03978890
    8.37837838    0.03955323
    8.41841842    0.03938698
    8.45845846    0.03929813
    8.49849850    0.03929211
    8.53853854    0.03937190
    8.57857858    0.03953808
    8.61861862    0.03978903
    8.65865866    0.04012101
    8.69869870    0.04052835
    8.73873874    0.04100370
    8.77877878    0.04153842
    8.81881882    0.04212309
    8.85885886    0.04274803
    8.89889890    0.04340395
    8.93893894    0.04408239
    8.97897898    0.04477595
    9.01901902    0.04547831
    9.05905906    0.04618390
    9.09909910    0.04688741
    9.13913914    0.04758328
    9.17917918    0.04826528
    9.21921922    0.04892648
    9.25925926    0.04955947
    9.29929930    0.05015694
    9.33933934    0.05071244
    9.37937938    0.05122109
    9.41941942    0.05168001
    9.45945946    0.05208842
    9.49949950    0.05244724
    9.53953954    0.05275838
    9.57957958    0.05302376
    9.61961962    0.05324450
    9.65965966    0.05342031
    9.69969970    0.05354923
    9.73973974    0.05362774
    9.77977978    0.05365122
    9.81981982    0.05361450
    9.85985986    0.05351238
