# Final state angular momentum:   1
# Broadening parameter (in eV):    0.500
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   14.30430430    0.05634739
   14.34434434    0.05651089
   14.38438438    0.05671230
   14.42442442    0.05694580
   14.46446446    0.05720452
   14.50450450    0.05748077
   14.54454454    0.05776639
   14.58458458    0.05805314
   14.62462462    0.05833331
   14.66466466    0.05860019
   14.70470470    0.05884860
   14.74474474    0.05907524
   14.78478478    0.05927885
   14.82482482    0.05946015
   14.86486486    0.05962157
   14.90490490    0.05976689
   14.94494494    0.05990081
   14.98498498    0.06002847
   15.02502503    0.06015506
   15.06506507    0.06028532
   15.10510511    0.06042317
   15.14514515    0.06057136
   15.18518519    0.06073113
   15.22522523    0.06090208
   15.26526527    0.06108215
   15.30530531    0.06126772
   15.34534535    0.06145389
   15.38538539    0.06163493
   15.42542543    0.06180469
   15.46546547    0.06195716
   15.50550551    0.06208678
   15.54554555    0.06218877
   15.58558559    0.06225925
   15.62562563    0.06229514
   15.66566567    0.06229402
   15.70570571    0.06225393
   15.74574575    0.06217306
   15.78578579    0.06204963
   15.82582583    0.06188171
   15.86586587    0.06166727
   15.90590591    0.06140425
   15.94594595    0.06109085
   15.98598599    0.06072573
   16.02602603    0.06030836
   16.06606607    0.05983922
   16.10610611    0.05931991
   16.14614615    0.05875318
   16.18618619    0.05814283
   16.22622623    0.05749349
   16.26626627    0.05681045
   16.30630631    0.05609934
   16.34634635    0.05536594
   16.38638639    0.05461599
   16.42642643    0.05385511
   16.46646647    0.05308881
   16.50650651    0.05232265
   16.54654655    0.05156237
   16.58658659    0.05081407
   16.62662663    0.05008432
   16.66666667    0.04938001
   16.70670671    0.04870823
   16.74674675    0.04807587
   16.78678679    0.04748929
   16.82682683    0.04695391
   16.86686687    0.04647405
   16.90690691    0.04605278
   16.94694695    0.04569198
   16.98698699    0.04539253
   17.02702703    0.04515453
   17.06706707    0.04497752
   17.10710711    0.04486066
   17.14714715    0.04480294
   17.18718719    0.04480309
   17.22722723    0.04485965
   17.26726727    0.04497073
   17.30730731    0.04513387
   17.34734735    0.04534583
   17.38738739    0.04560237
   17.42742743    0.04589813
   17.46746747    0.04622652
   17.50750751    0.04657979
   17.54754755    0.04694909
   17.58758759    0.04732471
   17.62762763    0.04769639
   17.66766767    0.04805368
   17.70770771    0.04838641
   17.74774775    0.04868521
   17.78778779    0.04894204
   17.82782783    0.04915063
   17.86786787    0.04930690
   17.90790791    0.04940913
   17.94794795    0.04945798
   17.98798799    0.04945626
   18.02802803    0.04940849
   18.06806807    0.04932036
   18.10810811    0.04919798
   18.14814815    0.04904730
   18.18818819    0.04887352
   18.22822823    0.04868070
   18.26826827    0.04847157
   18.30830831    0.04824757
   18.34834835    0.04800896
   18.38838839    0.04775513
   18.42842843    0.04748495
   18.46846847    0.04719708
   18.50850851    0.04689026
   18.54854855    0.04656355
   18.58858859    0.04621651
   18.62862863    0.04584922
   18.66866867    0.04546230
   18.70870871    0.04505684
   18.74874875    0.04463431
   18.78878879    0.04419647
   18.82882883    0.04374525
   18.86886887    0.04328277
   18.90890891    0.04281130
   18.94894895    0.04233334
   18.98898899    0.04185175
   19.02902903    0.04136983
   19.06906907    0.04089144
   19.10910911    0.04042100
   19.14914915    0.03996349
   19.18918919    0.03952430
   19.22922923    0.03910906
   19.26926927    0.03872341
   19.30930931    0.03837273
   19.34934935    0.03806188
   19.38938939    0.03779501
   19.42942943    0.03757537
   19.46946947    0.03740515
   19.50950951    0.03728541
   19.54954955    0.03721601
   19.58958959    0.03719568
   19.62962963    0.03722204
   19.66966967    0.03729177
   19.70970971    0.03740083
   19.74974975    0.03754471
   19.78978979    0.03771883
   19.82982983    0.03791881
   19.86986987    0.03814090
   19.90990991    0.03838225
   19.94994995    0.03864106
   19.98998999    0.03891674
   20.03003003    0.03920976
   20.07007007    0.03952149
   20.11011011    0.03985392
   20.15015015    0.04020925
   20.19019019    0.04058950
   20.23023023    0.04099617
   20.27027027    0.04142985
   20.31031031    0.04189002
   20.35035035    0.04237485
   20.39039039    0.04288118
   20.43043043    0.04340457
   20.47047047    0.04393947
   20.51051051    0.04447947
   20.55055055    0.04501759
   20.59059059    0.04554655
   20.63063063    0.04605901
   20.67067067    0.04654775
